,Sum Positive,Sum Negative,Mean Positive,Mean Negative
-Forebrain-Diencephalon-Caudal Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Habenula,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Intermediate Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Intermediate Hypothalamus-Diffuse Nucleus of the Intermediate Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System,0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 1 (AF1, Approximate Location)",0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 2 (AF2, Approximate Location)",0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 3 (AF3),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 4 (AF4),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 5 (AF5),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 6 (AF6),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 7 (AF7),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 8 (AF8),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 9 (AF9),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pineal,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pituitary,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Posterior Tuberculum,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Posterior Tuberculum-Posterior Tuberculum Oxytocin Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preglomerular Complex (approximate area),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preoptic Area,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preoptic Area-Anterior Preoptic Dopaminergic Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preoptic Area-Preoptoic Oxytocin Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pretectum,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Rostral Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Rostral Hypothalamus-Hypocretin Neuron Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Rostral Hypothalamus-Qrfp Neuron Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Thalamus-Dorsal Thalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Thalamus-Ventral Thalamus,0.0,0.0,0.0,0.0
-Forebrain-Olfactory Bulb,0.0,0.0,0.0,0.0
-Forebrain-Telencephalon-Pallium,0.0,0.0,0.0,0.0
-Forebrain-Telencephalon-Subpallium,0.0,0.0,0.0,0.0
-Ganglia-Anterior Lateral Line Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Facial Sensory Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Facial glossopharyngeal ganglion,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast D1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast D2,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast N,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast O1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast OC1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO2,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO3,0.0,0.0,0.0,0.0
-Ganglia-Olfactory Epithelium,0.0,0.0,0.0,0.0
-Ganglia-Posterior Lateral Line Ganglia,0.0,0.0,0.0,0.0
-Ganglia-Statoacoustic Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Trigeminal Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Vagal Ganglia,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Area Postrema,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Inferior Olive,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Lateral Reticular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Noradrendergic neurons of the Interfascicular and Vagal areas,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Small cluster of TH stained neurons,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-X Vagus motorneuron cluster,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Cerebellar Corpus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Granular Eminence,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Medial Caudal Lobe,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Valvula Cerebellum,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Interpeduncular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Locus Coeruleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Oculomotor Nucleus nIV,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Raphe - Superior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-RoL-R1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Ventrolateral Stripe of Serotonergic Neurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-Anterior Cluster of nV Trigeminal Motorneurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-Locus Coeruleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-Raphe - Superior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-RoL2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-RoM1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-RoM2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 2-Ventrolateral Stripe of Serotonergic Neurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-Posterior Cluster of nV Trigeminal Motorneurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-Raphe - Inferior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-RoL3,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-RoM3,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-RoV3,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-Spiral Fiber Neuron Anterior cluster,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-Spiral Fiber Neuron Posterior cluster,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 3-Ventrolateral Stripe of Serotonergic Neurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-Mauthner Cell Axon Cap,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-Mauthner,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-MiM1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-MiR1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-MiR2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-MiV1,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-Raphe - Inferior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 4-Spinal Backfill Vestibular Population,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-Medial Vestibular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-MiD2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-MiV2,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-Raphe - Inferior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-Tangential Vestibular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 5-VII Facial Motor and octavolateralis efferent neurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-Medial Vestibular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-MiD3,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-MiT,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-Raphe - Inferior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-Tangential Vestibular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 6-VII Facial Motor and octavolateralis efferent neurons,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 7,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 7-CaD,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 7-CaV,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 7-Raphe - Inferior,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 7-VII' Facial Motor and octavolateralis efferent neurons,0.0,0.0,0.0,0.0
-Midbrain-Tectum-Neuropil,0.0,935084.0,0.0,0.5649317067983877
-Midbrain-Tectum-Stratum Periventriculare,0.0,0.0,0.0,0.0
-Midbrain-Tegmentum,0.0,0.0,0.0,0.0
-Midbrain-Tegmentum-NucMLF (nucleus of the medial longitudinal fascicle,0.0,0.0,0.0,0.0
-Midbrain-Tegmentum-Oculomotor Nucleus nIII,0.0,0.0,0.0,0.0
-Midbrain-Torus Longitudinalis,0.0,0.0,0.0,0.0
-Midbrain-Torus Semicircularis,0.0,0.0,0.0,0.0
-Retina-Retina,0.0,0.0,0.0,0.0
-Spinal Cord-Spinal Cord,0.0,0.0,0.0,0.0
