,Sum Positive,Sum Negative,Mean Positive,Mean Negative
-Forebrain-Diencephalon-Caudal Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Habenula,0.0,214078.0,0.0,0.8188981799542502
-Forebrain-Diencephalon-Intermediate Hypothalamus,24166756.0,68624.0,18.103076288079055,0.05140555510193992
-Forebrain-Diencephalon-Intermediate Hypothalamus-Diffuse Nucleus of the Intermediate Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System,0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 1 (AF1, Approximate Location)",0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 2 (AF2, Approximate Location)",0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 3 (AF3),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 4 (AF4),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 5 (AF5),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 6 (AF6),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 7 (AF7),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 8 (AF8),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 9 (AF9),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pineal,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pituitary,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Posterior Tuberculum,7513225.0,32068326.0,22.578985012907474,96.37276298034878
-Forebrain-Diencephalon-Posterior Tuberculum-Posterior Tuberculum Oxytocin Cluster,1141670.0,0.0,85.2246939384891,0.0
-Forebrain-Diencephalon-Preglomerular Complex (approximate area),0.0,16098644.0,0.0,48.228556706281324
-Forebrain-Diencephalon-Preoptic Area,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preoptic Area-Anterior Preoptic Dopaminergic Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Preoptic Area-Preoptoic Oxytocin Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pretectum,9165361.0,8376784.0,18.180875226384142,16.616613868495858
-Forebrain-Diencephalon-Rostral Hypothalamus,870383.0,1217331.0,1.2736293291658618,1.781317494600432
-Forebrain-Diencephalon-Rostral Hypothalamus-Hypocretin Neuron Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Rostral Hypothalamus-Qrfp Neuron Cluster,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Thalamus-Dorsal Thalamus,29225318.0,9081058.0,127.14952360234936,39.50862736567326
-Forebrain-Diencephalon-Thalamus-Ventral Thalamus,6627975.0,55113992.0,22.035590205628605,183.23384477284438
-Forebrain-Olfactory Bulb,0.0,81984382.0,0.0,202.1699981751915
-Forebrain-Telencephalon-Pallium,8494562.0,22992.0,9.374913226538057,0.025374822728301116
-Forebrain-Telencephalon-Subpallium,128103.0,2158618.0,0.1806119514093324,3.043427627200848
-Ganglia-Anterior Lateral Line Ganglion,0.0,201691.0,0.0,4.547506313131313
-Ganglia-Facial Sensory Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Facial glossopharyngeal ganglion,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast D1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast D2,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast N,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast O1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast OC1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO1,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO2,0.0,0.0,0.0,0.0
-Ganglia-Lateral Line Neuromast SO3,0.0,0.0,0.0,0.0
-Ganglia-Olfactory Epithelium,0.0,4815454.0,0.0,9.924310310004987
-Ganglia-Posterior Lateral Line Ganglia,0.0,0.0,0.0,0.0
-Ganglia-Statoacoustic Ganglion,0.0,0.0,0.0,0.0
-Ganglia-Trigeminal Ganglion,0.0,1715746.0,0.0,19.348918510499132
-Ganglia-Vagal Ganglia,0.0,1095934.0,0.0,10.332469099719988
-Hindbrain-Caudal Hindbrain,2972216.0,12050684.0,1.4944838346513032,6.059301354440964
-Hindbrain-Caudal Hindbrain-Area Postrema,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Inferior Olive,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Lateral Reticular Nucleus,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Noradrendergic neurons of the Interfascicular and Vagal areas,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-Small cluster of TH stained neurons,0.0,0.0,0.0,0.0
-Hindbrain-Caudal Hindbrain-X Vagus motorneuron cluster,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1,0.0,2724054.0,0.0,2.676174560930394
-Hindbrain-Rhombomere 1-Cerebellum-Cerebellar Corpus,2961859.0,70376.0,3.123826268178803,0.07422446424672863
-Hindbrain-Rhombomere 1-Cerebellum-Granular Eminence,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Medial Caudal Lobe,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Cerebellum-Valvula Cerebellum,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Interpeduncular Nucleus,132816.0,0.0,0.8476679175920961,0.0
-Hindbrain-Rhombomere 1-Locus Coeruleus,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Oculomotor Nucleus nIV,0.0,0.0,0.0,0.0
-Hindbrain-Rhombomere 1-Raphe - Superior,8514.0,0.0,0.23231827111984282,0.0
-Hindbrain-Rhombomere 1-RoL-R1,0.0,0.0,0.0,0.0
