,Sum Positive,Sum Negative,Mean Positive,Mean Negative
-Forebrain-Diencephalon-Caudal Hypothalamus,0.0,7518067.0,0.0,23.437781941409185
-Forebrain-Diencephalon-Habenula,0.0,19862711.0,0.0,75.97949292714462
-Forebrain-Diencephalon-Intermediate Hypothalamus,26273084.0,69366832.0,19.68090561989823,51.96200315666544
-Forebrain-Diencephalon-Intermediate Hypothalamus-Diffuse Nucleus of the Intermediate Hypothalamus,0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System,0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 1 (AF1, Approximate Location)",0.0,0.0,0.0,0.0
"-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 2 (AF2, Approximate Location)",0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 3 (AF3),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 4 (AF4),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 5 (AF5),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 6 (AF6),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 7 (AF7),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 8 (AF8),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Optic Tract and Accessory Optic System-Retinal Arborization Field 9 (AF9),0.0,0.0,0.0,0.0
-Forebrain-Diencephalon-Pineal,0.0,10964.0,0.0,0.30081211589113255
-Forebrain-Diencephalon-Pituitary,0.0,13457589.0,0.0,162.08104299650728
-Forebrain-Diencephalon-Posterior Tuberculum,10975437.0,58201887.0,32.98373568382554,174.91017962272315
-Forebrain-Diencephalon-Posterior Tuberculum-Posterior Tuberculum Oxytocin Cluster,1414417.0,0.0,105.58502538071066,0.0
-Forebrain-Diencephalon-Preglomerular Complex (approximate area),28090.0,32958147.0,0.0841524390426574,98.73650610097694
-Forebrain-Diencephalon-Preoptic Area,0.0,1986162.0,0.0,2.8719775119077573
